City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,district,mandal,rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Amberpet,0.0,10.6,31.1,24.9,67.5,0.0,1.1
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Amberpet,0.0,10.6,31.1,24.9,67.5,0.0,1.1
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Ameerpet,0.0,15.1,30.2,21.3,48.2,0.0,0.1
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Ameerpet,0.0,15.1,30.2,21.3,48.2,0.0,0.1
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Asifnagar,0.0,12.1,29.5,22.5,80.9,0.0,1.4
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Asifnagar,0.0,12.1,29.5,22.5,80.9,0.0,1.4
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Bahadurpura,0.0,9.4,26.8,18.8,75.8,0.0,1.5
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Bahadurpura,0.0,9.4,26.8,18.8,75.8,0.0,1.5
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Bandlaguda,0.0,15.2,28.9,19.6,69.5,0.0,2.8
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Bandlaguda,0.0,15.2,28.9,19.6,69.5,0.0,2.8
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Charminar,0.0,13.7,28.2,22.0,71.9,0.0,2.8
Hyderabad,2019-01-01,66.79,143.42,15.13,63.82,45.22,13.84,0.94,22.51,31.99,5.59,38.44,4.12,132.0,Moderate,Hyderabad,Charminar,0.0,13.7,28.2,22.0,71.9,0.0,2.8
